Leon Osman,44,19
Steve McManaman,41,23
David Unsworth,38,13
Don Hutchison,37,15
Damien Duff,54,23
Edin Dzeko,50,32
Danny Murphy,50,20
Noel Whelan,43,17
Ashley Young,42,19
Gareth Bale,42,22
Matthew Taylor,40,22
Darren Huckerby,38,16
Tim Sherwood,37,10
Stewart Downing,36,12
Morten Gamst Pedersen,34,12
Gareth Barry,50,24
Ian Rush,48,21
Joe Cole,47,19
Steed Malbranque,39,17
John Spencer,36,14
Jonathan Walters,36,10
Muzzy Izzet,34,14
Ian Marshall,33,13
Jermaine Jenas,32,13
Hamilton Ricard,31,17
Charlie Adam,31,12
Mikel Arteta,41,14
Roy Keane,39,15
Dean Sturridge,38,18
Benni McCarthy,37,12
Ruel Fox,36,21
Papiss Cisse,36,15
Ashley Ward,33,10
Jason Wilcox,31,17
Steve Watson,26,9
Yaya Toure,51,25
David Hirst,43,15
Andrei Kanchelskis,43,21
Patrik Berger,38,11
Brian McBride,36,16
Jason Roberts,36,14
Shane Long,35,13
Dennis Wise,34,18
Nicklas Bendtner,32,17
Rod Wallace,45,29
Kenwyne Jones,40,14
Kevin Doyle,37,21
Paul Dickov,36,13
Salomon Kalou,36,18
Florent Malouda,35,11
David Silva,34,14
Sylvain Wiltord,31,12
Jurgen Klinsmann,29,14
Nikica Jelavic,28,14
Charles N'Zogbia,28,15
Lee Hendrie,27,14
David White,26,11
Shaun Bartlett,25,13
Mark Noble,25,7
Frederic Kanoute,43,14
Peter Odemwingie,36,14
Peter Ndlovu,35,22
Robert Lee,34,9
Patrick Vieira,32,10
Ricky Lambert,31,15
Malcolm Christie,30,11
Juninho Paulista,29,12
Carl Cort,28,10
John Barnes,28,13
Paul Kitson,28,10
Savo Milosevic,28,12
Loic Remy,27,10
Heidar Helguson,27,10
Guy Whittingham,27,15
Benjani Mwaruwari,26,10
Anthony Yeboah,24,13
Paul Ince,42,16
Samir Nasri,35,13
Andy Carroll,35,16
Cameron Jerome,32,16
Harry Kane,32,17
Shaun Wright-Phillips,32,14
Djibril Cisse,32,18
Danny Welbeck,30,14
Wilfried Bony,29,11
Egil Ostenstad,29,13
Luis Boa Morte,29,11
Obafemi Martins,28,14
Craig Gardner,28,10
Jonatan Johansson,27,6
Roque Santa Cruz,26,17
James Morrison,26,12
Andy Booth,25,12
Joey Barton,25,13
Julian Joachim,42,18
Marcus Bent,40,27
James Milner,38,14
Juan Mata,37,18
Benito Carbone,36,17
Mikael Forssell,34,12
Ian Dowie,33,16
Henri Camara,31,9
Oyvind Leonhardsen,30,14
Paul Rideout,29,12
El-Hadji Diouf,28,12
Simon Davies,27,12
Marc Overmars,25,10
Jan Age Fjortoft,24,5
Marians Pahars,42,14
Tore-Andre Flo,38,24
Javier Hernandez,37,24
Marouane Fellaini,31,15
Adam Johnson,31,13
Marlon Harewood,28,15
Sebastian Larsson,26,15
Leighton Baines,26,13
Nani,26,7
Marcus Stewart,26,16
Steve Stone,25,12
Francis Jeffers,25,7
Fabrizio Ravanelli,25,6
Scott Parker,24,10
Francesc Fabregas,38,16
Jamie Redknapp,33,13
Hugo Rodallega,29,12
Ian Taylor,29,9
Milan Baros,28,13
Aaron Lennon,28,9
William Gallas,25,6
Kieran Richardson,24,10
Dan Petrescu,24,12
Tomasz Radzinski,35,11
Marcus Gayle,34,18
Yossi Benayoun,31,11
Nicky Butt,29,16
